Type,Token,Count
word,보유세,17
word,코스피,13
word,부동산,12
word,이유,9
word,왜,9
word,대통령,8
word,주식,6
word,이재명,6
word,야구,6
word,너무,6
word,돌파,6
word,트럼프,6
word,지금,5
word,것,5
word,오늘,5
word,사상,5
word,영화,4
word,상승,4
word,이,4
word,논란,4
bigram,민희진 새,2
bigram,코스피 5000,2
bigram,이 대통령,2
bigram,갭투자 논란,2
bigram,논란 이상경,2
bigram,사의 표명,2
bigram,19년만에 한국시리즈,2
bigram,한국시리즈 진출,2
bigram,코스피 4000,2
bigram,이재명 대통령,2
bigram,주식은 왜,2
bigram,예상치 못한,2
bigram,카이스트 총장,2
bigram,대통령 대구,2
bigram,법무부 관봉권,2
bigram,폐기 쿠팡,2
bigram,의혹 상설특검,2
bigram,상설특검 수사,2
bigram,수사 결정,2
bigram,관봉권 띠지,2
